embeddings	accuracy	precision	recall	f1_score
glove	0.826256 (0.0080)	0.880666 (0.0122)	0.882344 (0.0269)	0.881084 (0.0078)
word2vec	0.834532 (0.0059)	0.887660 (0.0133)	0.886172 (0.0191)	0.886635 (0.0050)
ewe_uni	0.830365 (0.0056)	0.876102 (0.0108)	0.894766 (0.0205)	0.885071 (0.0054)
sawe-tanh-pca-100-glove	0.828881 (0.0090)	0.881370 (0.0116)	0.885547 (0.0281)	0.883016 (0.0086)
sent_emb_glove_full_dot_product_hstack_pca	0.811587 (0.0064)	0.864676 (0.0116)	0.880391 (0.0221)	0.872153 (0.0061)
sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.818265 (0.0078)	0.878379 (0.0063)	0.872109 (0.0140)	0.875141 (0.0062)
sent_emb_glove_full_dot_product_hstack_plus_bias_pca	0.817009 (0.0069)	0.864593 (0.0127)	0.889531 (0.0279)	0.876426 (0.0073)
sent_emb_glove_full_dot_product_hstack_plus_bias_pca_full_matrix	0.823288 (0.0037)	0.871079 (0.0103)	0.890234 (0.0164)	0.880357 (0.0036)
sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.794292 (0.0049)	0.865219 (0.0075)	0.851250 (0.0152)	0.858034 (0.0048)
sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.813185 (0.0085)	0.877945 (0.0121)	0.864922 (0.0179)	0.871164 (0.0067)
sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.800285 (0.0064)	0.854513 (0.0076)	0.876016 (0.0174)	0.864968 (0.0058)
sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.821689 (0.0020)	0.880008 (0.0069)	0.875469 (0.0111)	0.877641 (0.0024)
sent_emb_glove_full_mms_dot_product_hstack_pca	0.802568 (0.0074)	0.858769 (0.0119)	0.874141 (0.0271)	0.865957 (0.0078)
sent_emb_glove_full_mms_dot_product_hstack_pca_full_matrix	0.829909 (0.0034)	0.865786 (0.0105)	0.908359 (0.0153)	0.886381 (0.0029)
sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca	0.813527 (0.0051)	0.860516 (0.0143)	0.889766 (0.0265)	0.874426 (0.0062)
sent_emb_glove_full_mms_dot_product_hstack_plus_bias_pca_full_matrix	0.828482 (0.0055)	0.877498 (0.0095)	0.889766 (0.0180)	0.883385 (0.0051)
sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca	0.806336 (0.0043)	0.869482 (0.0108)	0.865234 (0.0201)	0.867081 (0.0051)
sent_emb_glove_full_mms_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.808276 (0.0090)	0.882631 (0.0070)	0.850938 (0.0201)	0.866293 (0.0081)
sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca	0.805194 (0.0041)	0.855018 (0.0048)	0.883203 (0.0102)	0.868826 (0.0034)
sent_emb_glove_full_mms_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.833105 (0.0065)	0.901696 (0.0071)	0.866172 (0.0160)	0.883432 (0.0059)
sent_emb_glove_vad_dot_product_hstack_pca	0.803082 (0.0042)	0.864884 (0.0053)	0.865859 (0.0129)	0.865278 (0.0041)
sent_emb_glove_vad_mms_dot_product_hstack_pca	0.799258 (0.0080)	0.857060 (0.0118)	0.871094 (0.0262)	0.863617 (0.0081)
sent_emb_glove_vad_dot_product_hstack_plus_bias_pca	0.804737 (0.0094)	0.864840 (0.0090)	0.868906 (0.0250)	0.866549 (0.0088)
sent_emb_glove_vad_mms_dot_product_hstack_plus_bias_pca	0.809075 (0.0087)	0.867705 (0.0100)	0.872031 (0.0238)	0.869550 (0.0082)
