run	embeddings	accuracy	precision	recall	f1_score
1	glove	0.835046	0.858279	0.927344	0.891476
2	glove	0.829909	0.895330	0.868750	0.881840
3	glove	0.835046	0.863004	0.920312	0.890737
4	glove	0.837329	0.870992	0.912500	0.891263
5	glove	0.830479	0.881303	0.887500	0.884391
6	glove	0.812215	0.890074	0.847656	0.868347
7	glove	0.821918	0.881102	0.874219	0.877647
8	glove	0.819064	0.884278	0.865625	0.874852
9	glove	0.820776	0.895902	0.853906	0.874400
10	glove	0.820776	0.886400	0.865625	0.875889
1	word2vec	0.841324	0.888372	0.895312	0.891829
2	word2vec	0.841895	0.889666	0.894531	0.892092
3	word2vec	0.827055	0.913633	0.842969	0.876879
4	word2vec	0.836187	0.904645	0.867188	0.885521
5	word2vec	0.842466	0.884380	0.902344	0.893271
6	word2vec	0.835046	0.865683	0.916406	0.890323
7	word2vec	0.835616	0.893651	0.879687	0.886614
8	word2vec	0.831621	0.881487	0.889062	0.885259
9	word2vec	0.826484	0.880655	0.882031	0.881343
10	word2vec	0.827626	0.874426	0.892188	0.883217
1	ewe_uni	0.843037	0.867056	0.927344	0.896187
2	ewe_uni	0.835616	0.872932	0.907031	0.889655
3	ewe_uni	0.831621	0.861335	0.917188	0.888384
4	ewe_uni	0.829909	0.894695	0.869531	0.881933
5	ewe_uni	0.827626	0.875000	0.891406	0.883127
6	ewe_uni	0.829338	0.874142	0.895312	0.884601
7	ewe_uni	0.822489	0.896806	0.855469	0.875650
8	ewe_uni	0.832763	0.868559	0.908594	0.888125
9	ewe_uni	0.823630	0.872602	0.888281	0.880372
10	ewe_uni	0.827626	0.877898	0.887500	0.882673
1	sawe-tanh-pca-100-glove	0.827626	0.877315	0.888281	0.882764
2	sawe-tanh-pca-100-glove	0.820205	0.902419	0.845313	0.872933
3	sawe-tanh-pca-100-glove	0.840183	0.863372	0.928125	0.894578
4	sawe-tanh-pca-100-glove	0.821918	0.893496	0.858594	0.875697
5	sawe-tanh-pca-100-glove	0.835046	0.876234	0.901563	0.888718
6	sawe-tanh-pca-100-glove	0.835046	0.871161	0.908594	0.889484
7	sawe-tanh-pca-100-glove	0.844749	0.872781	0.921875	0.896657
8	sawe-tanh-pca-100-glove	0.826484	0.886076	0.875000	0.880503
9	sawe-tanh-pca-100-glove	0.815068	0.894389	0.846875	0.869984
10	sawe-tanh-pca-100-glove	0.822489	0.876457	0.881250	0.878847
1	sent_emb_glove_full_dot_product_hstack_pca	0.820776	0.877344	0.877344	0.877344
2	sent_emb_glove_full_dot_product_hstack_pca	0.816781	0.850256	0.909375	0.878822
3	sent_emb_glove_full_dot_product_hstack_pca	0.813927	0.844653	0.913281	0.877628
4	sent_emb_glove_full_dot_product_hstack_pca	0.816210	0.863982	0.888281	0.875963
5	sent_emb_glove_full_dot_product_hstack_pca	0.813927	0.875000	0.869531	0.872257
6	sent_emb_glove_full_dot_product_hstack_pca	0.808219	0.876396	0.858594	0.867403
7	sent_emb_glove_full_dot_product_hstack_pca	0.801941	0.866457	0.861719	0.864081
8	sent_emb_glove_full_dot_product_hstack_pca	0.808219	0.867030	0.871094	0.869057
9	sent_emb_glove_full_dot_product_hstack_pca	0.800228	0.875606	0.846875	0.861001
10	sent_emb_glove_full_dot_product_hstack_pca	0.815639	0.850037	0.907813	0.877975
1	sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.820776	0.886400	0.865625	0.875889
2	sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.823630	0.879593	0.878906	0.879250
3	sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.825342	0.887739	0.871094	0.879338
4	sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.823059	0.884311	0.871875	0.878049
5	sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.827626	0.875000	0.891406	0.883127
6	sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.808219	0.875199	0.860156	0.867612
7	sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.819064	0.873545	0.879687	0.876606
8	sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.807078	0.877404	0.855469	0.866297
9	sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.805365	0.878935	0.850781	0.864629
10	sent_emb_glove_full_dot_product_hstack_pca_full_matrix	0.822489	0.865660	0.896094	0.880614
1	sent_emb_glove_full_dot_product_hstack_plus_bias_pca	0.809361	0.880225	0.855469	0.867670
2	sent_emb_glove_full_dot_product_hstack_plus_bias_pca	0.825342	0.841036	0.938281	0.887001
3	sent_emb_glove_full_dot_product_hstack_plus_bias_pca	0.825342	0.856515	0.914062	0.884354
