,lexico,size_emo_emb,accuracy,precision,recall,f1_score,r2_score
glove300,,300,0.812395309882747,0.873076923076923,0.86906584992343,0.871066768994628,0.049942375396662
word2vec,,300,0.724176437744277,0.798529411764706,0.831546707503829,0.81470367591898,-0.396810912363241
,,,,,,,
,,,,,,,
layer_only,,,,,,,
,e-anew,3,0.6845,0.8029,0.7519,0.7766,
,e-anew,10,0.684,0.7951,0.7634,0.7789,
,e-anew,30,0.7052,0.7881,0.8147,0.8012,
,e-anew,50,0.6667,0.7899,0.7397,0.7639,
,e-anew,100,0.6974,0.7898,0.7971,0.7934,
,e-anew,200,0.7052,0.792,0.8078,0.7998,
,e-anew,300,0.7303,0.8041,0.8331,0.8184,
,nrc_vad,3,0.7253,0.8001,0.8308,0.8152,
,nrc_vad,10,0.7164,0.8074,0.8025,0.8049,
,nrc_vad,30,0.7376,0.8016,0.8507,0.8254,
,nrc_vad,50,0.7314,0.8076,0.8292,0.8183,
,nrc_vad,100,0.7298,0.8152,0.8139,0.8146,
,nrc_vad,200,0.7426,0.8233,0.8239,0.8236,
,nrc_vad,300,0.7387,0.7989,0.8576,0.8272,
"full_process, no reduction",e-anew,3,0.6655,0.7751,0.7626,0.7688,
,e-anew,10,0.6968,0.8021,0.7757,0.7886,
,e-anew,30,0.6873,0.7719,0.8109,0.7909,
,e-anew,50,0.6991,0.7903,0.7994,0.7948,
,e-anew,100,0.7286,0.7804,0.8737,0.8244,
,e-anew,200,0.7136,0.7935,0.8208,0.8069,
,e-anew,300,0.6946,0.7972,0.7795,0.7882,
,nrc_vad,3,0.7018,0.8035,0.7825,0.7929,
,nrc_vad,10,0.7275,0.8052,0.8262,0.8156,
,nrc_vad,30,0.7398,0.8009,0.856,0.8275,
,nrc_vad,50,0.7208,0.809,0.8078,0.8084,
,nrc_vad,100,0.7314,0.8049,0.8338,0.8191,
,nrc_vad,200,0.7074,0.828,0.7557,0.7902,
,nrc_vad,300,0.737,0.8234,0.8139,0.8186,
full_process_with_reduction,e-anew,3,0.6968,0.7884,0.7986,0.7935,
,e-anew,10,0.7046,0.7842,0.8208,0.8021,
,e-anew,30,0.6868,0.7959,0.7672,0.7813,
,e-anew,50,0.703,0.7995,0.791,0.7952,
,e-anew,100,0.6907,0.7802,0.8017,0.7908,
,e-anew,200,0.7231,0.8041,0.8201,0.812,
,e-anew,300,0.67,0.7871,0.7504,0.7683,
,nrc_vad,3,0.7381,0.8217,0.8185,0.8201,
,nrc_vad,10,0.7482,0.8136,0.8492,0.8310,
,nrc_vad,30,0.7320,0.7997,0.8438,0.8212,
,nrc_vad,50,0.7264,0.8143,0.8093,0.8118,
,nrc_vad,100,0.7353,0.8190,0.8178,0.8184,
,nrc_vad,200,0.7521,0.8221,0.8423,0.8321,
,nrc_vad,300,0.7437,0.8240,0.8247,0.8243,
